Departamento,Mes,Anio,Weekday,Hora,Zona,Dia_Mes,Tipo_Accidente,Tipo_Vehiculo,Color_Vehiculo,Modelo_Vehiculo,Edad,Sexo,Condicion_Conductor,accidentes_totales,hoja_origen,vehiculos_involucrados_accidentes,victimas_totales,lesionados_totales,fallecidos_totales,tasa_victimas_involucradas,tasa_lesionados,tasa_fallecidos
Guatemala,,2020,,,,,,,,,,,,2676.0,cuadro 1,,,,,,,
El Progreso,,2020,,,,,,,,,,,,124.0,cuadro 1,,,,,,,
Sacatepéquez,,2020,,,,,,,,,,,,202.0,cuadro 1,,,,,,,
Chimaltenango,,2020,,,,,,,,,,,,229.0,cuadro 1,,,,,,,
Escuintla,,2020,,,,,,,,,,,,440.0,cuadro 1,,,,,,,
Santa Rosa,,2020,,,,,,,,,,,,197.0,cuadro 1,,,,,,,
Sololá,,2020,,,,,,,,,,,,81.0,cuadro 1,,,,,,,
Totonicapán,,2020,,,,,,,,,,,,49.0,cuadro 1,,,,,,,
Quetzaltenango,,2020,,,,,,,,,,,,197.0,cuadro 1,,,,,,,
Suchitepéquez,,2020,,,,,,,,,,,,201.0,cuadro 1,,,,,,,
Retalhuleu,,2020,,,,,,,,,,,,203.0,cuadro 1,,,,,,,
San Marcos,,2020,,,,,,,,,,,,147.0,cuadro 1,,,,,,,
Huehuetenango,,2020,,,,,,,,,,,,113.0,cuadro 1,,,,,,,
Quiché,,2020,,,,,,,,,,,,106.0,cuadro 1,,,,,,,
Baja Verapaz,,2020,,,,,,,,,,,,96.0,cuadro 1,,,,,,,
Alta Verapaz,,2020,,,,,,,,,,,,296.0,cuadro 1,,,,,,,
Petén,,2020,,,,,,,,,,,,206.0,cuadro 1,,,,,,,
Izabal,,2020,,,,,,,,,,,,230.0,cuadro 1,,,,,,,
Zacapa,,2020,,,,,,,,,,,,141.0,cuadro 1,,,,,,,
Chiquimula,,2020,,,,,,,,,,,,130.0,cuadro 1,,,,,,,
Jalapa,,2020,,,,,,,,,,,,121.0,cuadro 1,,,,,,,
Jutiapa,,2020,,,,,,,,,,,,165.0,cuadro 1,,,,,,,
Guatemala,,2021,,,,,,,,,,,,3450.0,cuadro 1,,,,,,,
El Progreso,,2021,,,,,,,,,,,,170.0,cuadro 1,,,,,,,
Sacatepéquez,,2021,,,,,,,,,,,,270.0,cuadro 1,,,,,,,
Chimaltenango,,2021,,,,,,,,,,,,297.0,cuadro 1,,,,,,,
Escuintla,,2021,,,,,,,,,,,,615.0,cuadro 1,,,,,,,
Santa Rosa,,2021,,,,,,,,,,,,238.0,cuadro 1,,,,,,,
Sololá,,2021,,,,,,,,,,,,109.0,cuadro 1,,,,,,,
Totonicapán,,2021,,,,,,,,,,,,77.0,cuadro 1,,,,,,,
Quetzaltenango,,2021,,,,,,,,,,,,253.0,cuadro 1,,,,,,,
Suchitepéquez,,2021,,,,,,,,,,,,229.0,cuadro 1,,,,,,,
Retalhuleu,,2021,,,,,,,,,,,,222.0,cuadro 1,,,,,,,
San Marcos,,2021,,,,,,,,,,,,182.0,cuadro 1,,,,,,,
Huehuetenango,,2021,,,,,,,,,,,,141.0,cuadro 1,,,,,,,
Quiché,,2021,,,,,,,,,,,,186.0,cuadro 1,,,,,,,
Baja Verapaz,,2021,,,,,,,,,,,,137.0,cuadro 1,,,,,,,
Alta Verapaz,,2021,,,,,,,,,,,,380.0,cuadro 1,,,,,,,
Petén,,2021,,,,,,,,,,,,266.0,cuadro 1,,,,,,,
Izabal,,2021,,,,,,,,,,,,237.0,cuadro 1,,,,,,,
Zacapa,,2021,,,,,,,,,,,,154.0,cuadro 1,,,,,,,
Chiquimula,,2021,,,,,,,,,,,,166.0,cuadro 1,,,,,,,
Jalapa,,2021,,,,,,,,,,,,146.0,cuadro 1,,,,,,,
Jutiapa,,2021,,,,,,,,,,,,228.0,cuadro 1,,,,,,,
Guatemala,,2022,,,,,,,,,,,,3387.0,cuadro 1,,,,,,,
El Progreso,,2022,,,,,,,,,,,,147.0,cuadro 1,,,,,,,
Sacatepéquez,,2022,,,,,,,,,,,,325.0,cuadro 1,,,,,,,
Chimaltenango,,2022,,,,,,,,,,,,297.0,cuadro 1,,,,,,,
Escuintla,,2022,,,,,,,,,,,,695.0,cuadro 1,,,,,,,
Santa Rosa,,2022,,,,,,,,,,,,231.0,cuadro 1,,,,,,,
Sololá,,2022,,,,,,,,,,,,68.0,cuadro 1,,,,,,,
Totonicapán,,2022,,,,,,,,,,,,82.0,cuadro 1,,,,,,,
Quetzaltenango,,2022,,,,,,,,,,,,239.0,cuadro 1,,,,,,,
Suchitepéquez,,2022,,,,,,,,,,,,215.0,cuadro 1,,,,,,,
Retalhuleu,,2022,,,,,,,,,,,,216.0,cuadro 1,,,,,,,
San Marcos,,2022,,,,,,,,,,,,138.0,cuadro 1,,,,,,,
Huehuetenango,,2022,,,,,,,,,,,,118.0,cuadro 1,,,,,,,
Quiché,,2022,,,,,,,,,,,,160.0,cuadro 1,,,,,,,
Baja Verapaz,,2022,,,,,,,,,,,,145.0,cuadro 1,,,,,,,
Alta Verapaz,,2022,,,,,,,,,,,,355.0,cuadro 1,,,,,,,
Petén,,2022,,,,,,,,,,,,226.0,cuadro 1,,,,,,,
Izabal,,2022,,,,,,,,,,,,233.0,cuadro 1,,,,,,,
Zacapa,,2022,,,,,,,,,,,,146.0,cuadro 1,,,,,,,
Chiquimula,,2022,,,,,,,,,,,,135.0,cuadro 1,,,,,,,
Jalapa,,2022,,,,,,,,,,,,127.0,cuadro 1,,,,,,,
Jutiapa,,2022,,,,,,,,,,,,239.0,cuadro 1,,,,,,,
Guatemala,,2023,,,,,,,,,,,,3457.0,cuadro 1,,,,,,,
El Progreso,,2023,,,,,,,,,,,,173.0,cuadro 1,,,,,,,
Sacatepéquez,,2023,,,,,,,,,,,,325.0,cuadro 1,,,,,,,
Chimaltenango,,2023,,,,,,,,,,,,300.0,cuadro 1,,,,,,,
Escuintla,,2023,,,,,,,,,,,,930.0,cuadro 1,,,,,,,
Santa Rosa,,2023,,,,,,,,,,,,272.0,cuadro 1,,,,,,,
Sololá,,2023,,,,,,,,,,,,72.0,cuadro 1,,,,,,,
Totonicapán,,2023,,,,,,,,,,,,40.0,cuadro 1,,,,,,,
Quetzaltenango,,2023,,,,,,,,,,,,232.0,cuadro 1,,,,,,,
Suchitepéquez,,2023,,,,,,,,,,,,187.0,cuadro 1,,,,,,,
Retalhuleu,,2023,,,,,,,,,,,,198.0,cuadro 1,,,,,,,
San Marcos,,2023,,,,,,,,,,,,178.0,cuadro 1,,,,,,,
Huehuetenango,,2023,,,,,,,,,,,,126.0,cuadro 1,,,,,,,
Quiché,,2023,,,,,,,,,,,,129.0,cuadro 1,,,,,,,
Baja Verapaz,,2023,,,,,,,,,,,,145.0,cuadro 1,,,,,,,
Alta Verapaz,,2023,,,,,,,,,,,,356.0,cuadro 1,,,,,,,
Petén,,2023,,,,,,,,,,,,256.0,cuadro 1,,,,,,,
Izabal,,2023,,,,,,,,,,,,244.0,cuadro 1,,,,,,,
Zacapa,,2023,,,,,,,,,,,,142.0,cuadro 1,,,,,,,
Chiquimula,,2023,,,,,,,,,,,,112.0,cuadro 1,,,,,,,
Jalapa,,2023,,,,,,,,,,,,118.0,cuadro 1,,,,,,,
Jutiapa,,2023,,,,,,,,,,,,226.0,cuadro 1,,,,,,,
Guatemala,,2024,,,,,,,,,,,,3408.0,cuadro 1,,,,,,,
El Progreso,,2024,,,,,,,,,,,,182.0,cuadro 1,,,,,,,
Sacatepéquez,,2024,,,,,,,,,,,,366.0,cuadro 1,,,,,,,
Chimaltenango,,2024,,,,,,,,,,,,299.0,cuadro 1,,,,,,,
Escuintla,,2024,,,,,,,,,,,,1123.0,cuadro 1,,,,,,,
Santa Rosa,,2024,,,,,,,,,,,,233.0,cuadro 1,,,,,,,
Sololá,,2024,,,,,,,,,,,,73.0,cuadro 1,,,,,,,
Totonicapán,,2024,,,,,,,,,,,,49.0,cuadro 1,,,,,,,
Quetzaltenango,,2024,,,,,,,,,,,,218.0,cuadro 1,,,,,,,
Suchitepéquez,,2024,,,,,,,,,,,,194.0,cuadro 1,,,,,,,
Retalhuleu,,2024,,,,,,,,,,,,176.0,cuadro 1,,,,,,,
San Marcos,,2024,,,,,,,,,,,,144.0,cuadro 1,,,,,,,
Huehuetenango,,2024,,,,,,,,,,,,128.0,cuadro 1,,,,,,,
Quiché,,2024,,,,,,,,,,,,153.0,cuadro 1,,,,,,,
Baja Verapaz,,2024,,,,,,,,,,,,172.0,cuadro 1,,,,,,,
Alta Verapaz,,2024,,,,,,,,,,,,364.0,cuadro 1,,,,,,,
Petén,,2024,,,,,,,,,,,,268.0,cuadro 1,,,,,,,
Izabal,,2024,,,,,,,,,,,,271.0,cuadro 1,,,,,,,
Zacapa,,2024,,,,,,,,,,,,120.0,cuadro 1,,,,,,,
Chiquimula,,2024,,,,,,,,,,,,124.0,cuadro 1,,,,,,,
Jalapa,,2024,,,,,,,,,,,,108.0,cuadro 1,,,,,,,
Jutiapa,,2024,,,,,,,,,,,,228.0,cuadro 1,,,,,,,
Guatemala,,,,,,,,,,,,,,3408.0,cuadro 2,,,,,,,
El Progreso,,,,,,,,,,,,,,182.0,cuadro 2,,,,,,,
Sacatepéquez,,,,,,,,,,,,,,366.0,cuadro 2,,,,,,,
Chimaltenango,,,,,,,,,,,,,,299.0,cuadro 2,,,,,,,
Escuintla,,,,,,,,,,,,,,1123.0,cuadro 2,,,,,,,
Santa Rosa,,,,,,,,,,,,,,233.0,cuadro 2,,,,,,,
Sololá,,,,,,,,,,,,,,73.0,cuadro 2,,,,,,,
Totonicapán,,,,,,,,,,,,,,49.0,cuadro 2,,,,,,,
Quetzaltenango,,,,,,,,,,,,,,218.0,cuadro 2,,,,,,,
Suchitepéquez,,,,,,,,,,,,,,194.0,cuadro 2,,,,,,,
Retalhuleu,,,,,,,,,,,,,,176.0,cuadro 2,,,,,,,
San Marcos,,,,,,,,,,,,,,144.0,cuadro 2,,,,,,,
Huehuetenango,,,,,,,,,,,,,,128.0,cuadro 2,,,,,,,
Quiché,,,,,,,,,,,,,,153.0,cuadro 2,,,,,,,
Baja Verapaz,,,,,,,,,,,,,,172.0,cuadro 2,,,,,,,
Alta Verapaz,,,,,,,,,,,,,,364.0,cuadro 2,,,,,,,
Petén,,,,,,,,,,,,,,268.0,cuadro 2,,,,,,,
Izabal,,,,,,,,,,,,,,271.0,cuadro 2,,,,,,,
Zacapa,,,,,,,,,,,,,,120.0,cuadro 2,,,,,,,
Chiquimula,,,,,,,,,,,,,,124.0,cuadro 2,,,,,,,
Jalapa,,,,,,,,,,,,,,108.0,cuadro 2,,,,,,,
Jutiapa,,,,,,,,,,,,,,228.0,cuadro 2,,,,,,,
Guatemala,Enero,,,,,,,,,,,,,263.0,cuadro 2,,,,,,,
El Progreso,Enero,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Sacatepéquez,Enero,,,,,,,,,,,,,27.0,cuadro 2,,,,,,,
Chimaltenango,Enero,,,,,,,,,,,,,25.0,cuadro 2,,,,,,,
Escuintla,Enero,,,,,,,,,,,,,81.0,cuadro 2,,,,,,,
Santa Rosa,Enero,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Sololá,Enero,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Totonicapán,Enero,,,,,,,,,,,,,2.0,cuadro 2,,,,,,,
Quetzaltenango,Enero,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Suchitepéquez,Enero,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Retalhuleu,Enero,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
San Marcos,Enero,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Huehuetenango,Enero,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
Quiché,Enero,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Baja Verapaz,Enero,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Alta Verapaz,Enero,,,,,,,,,,,,,29.0,cuadro 2,,,,,,,
Petén,Enero,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Izabal,Enero,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Zacapa,Enero,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Chiquimula,Enero,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Jalapa,Enero,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Jutiapa,Enero,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Guatemala,Febrero,,,,,,,,,,,,,296.0,cuadro 2,,,,,,,
El Progreso,Febrero,,,,,,,,,,,,,9.0,cuadro 2,,,,,,,
Sacatepéquez,Febrero,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Chimaltenango,Febrero,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Escuintla,Febrero,,,,,,,,,,,,,96.0,cuadro 2,,,,,,,
Santa Rosa,Febrero,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
Sololá,Febrero,,,,,,,,,,,,,2.0,cuadro 2,,,,,,,
Totonicapán,Febrero,,,,,,,,,,,,,2.0,cuadro 2,,,,,,,
Quetzaltenango,Febrero,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Suchitepéquez,Febrero,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Retalhuleu,Febrero,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
San Marcos,Febrero,,,,,,,,,,,,,9.0,cuadro 2,,,,,,,
Huehuetenango,Febrero,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Quiché,Febrero,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Baja Verapaz,Febrero,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Alta Verapaz,Febrero,,,,,,,,,,,,,34.0,cuadro 2,,,,,,,
Petén,Febrero,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Izabal,Febrero,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Zacapa,Febrero,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Chiquimula,Febrero,,,,,,,,,,,,,22.0,cuadro 2,,,,,,,
Jalapa,Febrero,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Jutiapa,Febrero,,,,,,,,,,,,,10.0,cuadro 2,,,,,,,
Guatemala,Marzo,,,,,,,,,,,,,289.0,cuadro 2,,,,,,,
El Progreso,Marzo,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Sacatepéquez,Marzo,,,,,,,,,,,,,27.0,cuadro 2,,,,,,,
Chimaltenango,Marzo,,,,,,,,,,,,,23.0,cuadro 2,,,,,,,
Escuintla,Marzo,,,,,,,,,,,,,122.0,cuadro 2,,,,,,,
Santa Rosa,Marzo,,,,,,,,,,,,,29.0,cuadro 2,,,,,,,
Sololá,Marzo,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Totonicapán,Marzo,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
Quetzaltenango,Marzo,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Suchitepéquez,Marzo,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Retalhuleu,Marzo,,,,,,,,,,,,,23.0,cuadro 2,,,,,,,
San Marcos,Marzo,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Huehuetenango,Marzo,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Quiché,Marzo,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Baja Verapaz,Marzo,,,,,,,,,,,,,9.0,cuadro 2,,,,,,,
Alta Verapaz,Marzo,,,,,,,,,,,,,31.0,cuadro 2,,,,,,,
Petén,Marzo,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Izabal,Marzo,,,,,,,,,,,,,26.0,cuadro 2,,,,,,,
Zacapa,Marzo,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Chiquimula,Marzo,,,,,,,,,,,,,1.0,cuadro 2,,,,,,,
Jalapa,Marzo,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Jutiapa,Marzo,,,,,,,,,,,,,33.0,cuadro 2,,,,,,,
Guatemala,Abril,,,,,,,,,,,,,250.0,cuadro 2,,,,,,,
El Progreso,Abril,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Sacatepéquez,Abril,,,,,,,,,,,,,32.0,cuadro 2,,,,,,,
Chimaltenango,Abril,,,,,,,,,,,,,22.0,cuadro 2,,,,,,,
Escuintla,Abril,,,,,,,,,,,,,91.0,cuadro 2,,,,,,,
Santa Rosa,Abril,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Sololá,Abril,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
Totonicapán,Abril,,,,,,,,,,,,,3.0,cuadro 2,,,,,,,
Quetzaltenango,Abril,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Suchitepéquez,Abril,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Retalhuleu,Abril,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
San Marcos,Abril,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Huehuetenango,Abril,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Quiché,Abril,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Baja Verapaz,Abril,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Alta Verapaz,Abril,,,,,,,,,,,,,33.0,cuadro 2,,,,,,,
Petén,Abril,,,,,,,,,,,,,22.0,cuadro 2,,,,,,,
Izabal,Abril,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
Zacapa,Abril,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Chiquimula,Abril,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Jalapa,Abril,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Jutiapa,Abril,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Guatemala,Mayo,,,,,,,,,,,,,268.0,cuadro 2,,,,,,,
El Progreso,Mayo,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Sacatepéquez,Mayo,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Chimaltenango,Mayo,,,,,,,,,,,,,29.0,cuadro 2,,,,,,,
Escuintla,Mayo,,,,,,,,,,,,,91.0,cuadro 2,,,,,,,
Santa Rosa,Mayo,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Sololá,Mayo,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Totonicapán,Mayo,,,,,,,,,,,,,3.0,cuadro 2,,,,,,,
Quetzaltenango,Mayo,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Suchitepéquez,Mayo,,,,,,,,,,,,,22.0,cuadro 2,,,,,,,
Retalhuleu,Mayo,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
San Marcos,Mayo,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
Huehuetenango,Mayo,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Quiché,Mayo,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Baja Verapaz,Mayo,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
Alta Verapaz,Mayo,,,,,,,,,,,,,33.0,cuadro 2,,,,,,,
Petén,Mayo,,,,,,,,,,,,,10.0,cuadro 2,,,,,,,
Izabal,Mayo,,,,,,,,,,,,,25.0,cuadro 2,,,,,,,
Zacapa,Mayo,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Chiquimula,Mayo,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Jalapa,Mayo,,,,,,,,,,,,,10.0,cuadro 2,,,,,,,
Jutiapa,Mayo,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Guatemala,Junio,,,,,,,,,,,,,236.0,cuadro 2,,,,,,,
El Progreso,Junio,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Sacatepéquez,Junio,,,,,,,,,,,,,23.0,cuadro 2,,,,,,,
Chimaltenango,Junio,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Escuintla,Junio,,,,,,,,,,,,,59.0,cuadro 2,,,,,,,
Santa Rosa,Junio,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Sololá,Junio,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Totonicapán,Junio,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
Quetzaltenango,Junio,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Suchitepéquez,Junio,,,,,,,,,,,,,10.0,cuadro 2,,,,,,,
Retalhuleu,Junio,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
San Marcos,Junio,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Huehuetenango,Junio,,,,,,,,,,,,,10.0,cuadro 2,,,,,,,
Quiché,Junio,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Baja Verapaz,Junio,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Alta Verapaz,Junio,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Petén,Junio,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Izabal,Junio,,,,,,,,,,,,,23.0,cuadro 2,,,,,,,
Zacapa,Junio,,,,,,,,,,,,,3.0,cuadro 2,,,,,,,
Chiquimula,Junio,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Jalapa,Junio,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Jutiapa,Junio,,,,,,,,,,,,,8.0,cuadro 2,,,,,,,
Guatemala,Julio,,,,,,,,,,,,,311.0,cuadro 2,,,,,,,
El Progreso,Julio,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Sacatepéquez,Julio,,,,,,,,,,,,,33.0,cuadro 2,,,,,,,
Chimaltenango,Julio,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Escuintla,Julio,,,,,,,,,,,,,76.0,cuadro 2,,,,,,,
Santa Rosa,Julio,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Sololá,Julio,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Totonicapán,Julio,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Quetzaltenango,Julio,,,,,,,,,,,,,22.0,cuadro 2,,,,,,,
Suchitepéquez,Julio,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Retalhuleu,Julio,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
San Marcos,Julio,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Huehuetenango,Julio,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Quiché,Julio,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Baja Verapaz,Julio,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Alta Verapaz,Julio,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Petén,Julio,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Izabal,Julio,,,,,,,,,,,,,24.0,cuadro 2,,,,,,,
Zacapa,Julio,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
Chiquimula,Julio,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Jalapa,Julio,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
Jutiapa,Julio,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Guatemala,Agosto,,,,,,,,,,,,,277.0,cuadro 2,,,,,,,
El Progreso,Agosto,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Sacatepéquez,Agosto,,,,,,,,,,,,,30.0,cuadro 2,,,,,,,
Chimaltenango,Agosto,,,,,,,,,,,,,21.0,cuadro 2,,,,,,,
Escuintla,Agosto,,,,,,,,,,,,,106.0,cuadro 2,,,,,,,
Santa Rosa,Agosto,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Sololá,Agosto,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Totonicapán,Agosto,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Quetzaltenango,Agosto,,,,,,,,,,,,,19.0,cuadro 2,,,,,,,
Suchitepéquez,Agosto,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Retalhuleu,Agosto,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
San Marcos,Agosto,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Huehuetenango,Agosto,,,,,,,,,,,,,8.0,cuadro 2,,,,,,,
Quiché,Agosto,,,,,,,,,,,,,8.0,cuadro 2,,,,,,,
Baja Verapaz,Agosto,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Alta Verapaz,Agosto,,,,,,,,,,,,,32.0,cuadro 2,,,,,,,
Petén,Agosto,,,,,,,,,,,,,21.0,cuadro 2,,,,,,,
Izabal,Agosto,,,,,,,,,,,,,20.0,cuadro 2,,,,,,,
Zacapa,Agosto,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Chiquimula,Agosto,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Jalapa,Agosto,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Jutiapa,Agosto,,,,,,,,,,,,,18.0,cuadro 2,,,,,,,
Guatemala,Septiembre,,,,,,,,,,,,,255.0,cuadro 2,,,,,,,
El Progreso,Septiembre,,,,,,,,,,,,,13.0,cuadro 2,,,,,,,
Sacatepéquez,Septiembre,,,,,,,,,,,,,43.0,cuadro 2,,,,,,,
Chimaltenango,Septiembre,,,,,,,,,,,,,32.0,cuadro 2,,,,,,,
Escuintla,Septiembre,,,,,,,,,,,,,97.0,cuadro 2,,,,,,,
Santa Rosa,Septiembre,,,,,,,,,,,,,17.0,cuadro 2,,,,,,,
Sololá,Septiembre,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Totonicapán,Septiembre,,,,,,,,,,,,,4.0,cuadro 2,,,,,,,
Quetzaltenango,Septiembre,,,,,,,,,,,,,21.0,cuadro 2,,,,,,,
Suchitepéquez,Septiembre,,,,,,,,,,,,,9.0,cuadro 2,,,,,,,
Retalhuleu,Septiembre,,,,,,,,,,,,,11.0,cuadro 2,,,,,,,
San Marcos,Septiembre,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Huehuetenango,Septiembre,,,,,,,,,,,,,12.0,cuadro 2,,,,,,,
Quiché,Septiembre,,,,,,,,,,,,,20.0,cuadro 2,,,,,,,
Baja Verapaz,Septiembre,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Alta Verapaz,Septiembre,,,,,,,,,,,,,27.0,cuadro 2,,,,,,,
Petén,Septiembre,,,,,,,,,,,,,27.0,cuadro 2,,,,,,,
Izabal,Septiembre,,,,,,,,,,,,,30.0,cuadro 2,,,,,,,
Zacapa,Septiembre,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Chiquimula,Septiembre,,,,,,,,,,,,,14.0,cuadro 2,,,,,,,
Jalapa,Septiembre,,,,,,,,,,,,,7.0,cuadro 2,,,,,,,
Jutiapa,Septiembre,,,,,,,,,,,,,15.0,cuadro 2,,,,,,,
Guatemala,Octubre,,,,,,,,,,,,,293.0,cuadro 2,,,,,,,
El Progreso,Octubre,,,,,,,,,,,,,16.0,cuadro 2,,,,,,,
Sacatepéquez,Octubre,,,,,,,,,,,,,38.0,cuadro 2,,,,,,,
Chimaltenango,Octubre,,,,,,,,,,,,,28.0,cuadro 2,,,,,,,
Escuintla,Octubre,,,,,,,,,,,,,93.0,cuadro 2,,,,,,,
Santa Rosa,Octubre,,,,,,,,,,,,,25.0,cuadro 2,,,,,,,
Sololá,Octubre,,,,,,,,,,,,,6.0,cuadro 2,,,,,,,
Totonicapán,Octubre,,,,,,,,,,,,,5.0,cuadro 2,,,,,,,
